1.8000 10
2.0727 110
1.7143 210
1.8774 310
1.8878 410
1.6824 510
1.9574 610
2.0197 710
1.8148 810
1.7802 910
1.6574 1010
1.6541 1110
1.7603 1210
1.8366 1310
1.5702 1410
1.6371 1510
1.6547 1610
1.7053 1710
1.7569 1810
1.8911 1910
1.7403 2010
1.7915 2110
1.7538 2210
1.6701 2310
1.7303 2410
1.8024 2510
1.7287 2610
1.7424 2710
1.7509 2810
1.8165 2910
1.8299 3010
1.8193 3110
1.7925 3210
1.7474 3310
1.8950 3410
1.7675 3510
1.7784 3610
1.7337 3710
1.7843 3810
1.7478 3910
1.7401 4010
1.8336 4110
1.7629 4210
1.6733 4310
1.7714 4410
1.7255 4510
1.7349 4610
1.8051 4710
1.7501 4810
1.7230 4910
1.7964 5010
1.8200 5110
1.8196 5210
1.8113 5310
1.7945 5410
1.7869 5510
1.7947 5610
1.7517 5710
1.8238 5810
1.8274 5910
1.7251 6010
1.7912 6110
1.7169 6210
1.7800 6310
1.7176 6410
1.8138 6510
1.7628 6610
1.7866 6710
1.8167 6810
1.7740 6910
1.7700 7010
1.7747 7110
1.7792 7210
1.7352 7310
1.7700 7410
1.8048 7510
1.7866 7610
1.7969 7710
1.7700 7810
1.7636 7910
1.7446 8010
1.7926 8110
1.7847 8210
1.7422 8310
1.8000 8410
1.8021 8510
1.8098 8610
1.7959 8710
1.7407 8810
1.7367 8910
1.7767 9010
1.7671 9110
1.7590 9210
1.8135 9310
1.7802 9410
1.7413 9510
1.7781 9610
1.7456 9710
1.7547 9810
1.7703 9910
