3.2000 10
3.2000 110
3.1619 210
2.9677 310
3.2098 410
3.1451 510
3.2787 610
3.2620 710
3.2395 810
3.2308 910
3.1525 1010
3.1135 1110
3.1306 1210
3.1053 1310
3.1574 1410
3.2291 1510
3.1280 1610
3.2257 1710
3.0873 1810
3.0806 1910
3.1821 2010
3.1299 2110
3.1566 2210
3.0597 2310
3.1419 2410
3.1331 2510
3.1494 2610
3.1410 2710
3.1317 2810
3.1354 2910
3.1402 3010
3.1125 3110
3.1614 3210
3.1347 3310
3.0850 3410
3.2194 3510
3.0792 3610
3.1385 3710
3.1622 3810
3.1775 3910
3.1292 4010
3.1105 4110
3.1221 4210
3.1193 4310
3.1111 4410
3.1424 4510
3.1419 4610
3.1507 4710
3.1634 4810
3.1193 4910
3.1561 5010
3.1256 5110
3.1025 5210
3.1473 5310
3.1623 5410
3.1056 5510
3.1180 5610
3.1510 5710
3.1139 5810
3.1364 5910
3.1428 6010
3.1398 6110
3.1472 6210
3.1208 6310
3.1800 6410
3.1576 6510
3.1153 6610
3.0969 6710
3.0884 6810
3.1456 6910
3.1178 7010
3.1252 7110
3.1212 7210
3.1196 7310
3.1374 7410
3.1387 7510
3.1438 7610
3.1518 7710
3.1375 7810
3.1535 7910
3.1426 8010
3.1393 8110
3.1211 8210
3.1158 8310
3.1277 8410
3.1483 8510
3.1382 8610
3.1389 8710
3.1451 8810
3.1484 8910
3.1259 9010
3.1513 9110
3.1214 9210
3.1734 9310
3.1384 9410
3.1319 9510
3.1434 9610
3.1226 9710
3.1364 9810
3.1600 9910
